epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,209.448,2.61535,4.47542,2.08451,0,0,0,0,1.90092,4.67038,1.89708,0.000972222,0.000324074,0.000972222,0.000324074,0.000972222,0.000324074,0.000972222,0.000324074
2,371.227,2.19792,4.33506,1.8262,0.00018,0.00249,0.0001,1e-05,1.80681,4.55049,1.74171,0.0018746,0.000624866,0.0018746,0.000624866,0.0018746,0.000624866,0.0018746,0.000624866
3,514.76,1.95679,4.07716,1.62946,0.00122,0.0199,0.00129,0.0007,1.74323,4.10295,1.56308,0.00267797,0.000892657,0.00267797,0.000892657,0.00267797,0.000892657,0.00267797,0.000892657
4,653.872,1.85645,3.64959,1.55056,0.85024,0.04229,0.01633,0.00794,1.90345,3.78916,1.67438,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
5,796.831,1.8358,3.31658,1.52969,0.84594,0.1393,0.06346,0.0342,1.84718,3.33901,1.60617,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
6,940.577,1.82049,3.076,1.51382,0.77678,0.11844,0.09144,0.05121,1.76717,2.93974,1.54899,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
7,1082.66,1.76794,2.92176,1.48602,0.6024,0.16266,0.11664,0.06218,1.64727,2.79976,1.47653,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
8,1225.22,1.73891,2.78597,1.45146,0.61009,0.15246,0.13734,0.07232,1.65275,2.72397,1.46125,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
9,1365.37,1.71991,2.68229,1.46242,0.65468,0.16446,0.16558,0.08531,1.61081,2.59753,1.42477,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
10,1506.17,1.70341,2.64188,1.42972,0.69251,0.15451,0.18143,0.0954,1.59642,2.57136,1.40793,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
11,1644.69,1.70517,2.76563,1.51259,0.61769,0.16933,0.16864,0.08456,1.60996,2.64244,1.40495,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
12,1786.74,1.63147,2.63275,1.47185,0.65653,0.14456,0.17048,0.08819,1.53465,2.51817,1.35237,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
13,1938.81,1.60236,2.56071,1.46265,0.64769,0.17869,0.17774,0.09875,1.51546,2.47303,1.35216,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
14,2082.48,1.58323,2.52904,1.45753,0.6533,0.18602,0.17619,0.09856,1.49346,2.45943,1.34709,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
15,2220.91,1.57344,2.51359,1.43886,0.64836,0.17824,0.18017,0.10409,1.49829,2.45339,1.34545,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
16,2359.06,1.56294,2.49012,1.43351,0.63655,0.20605,0.18554,0.10422,1.49653,2.42649,1.34089,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
17,2498.97,1.54305,2.45081,1.41333,0.64441,0.18762,0.18534,0.10314,1.49312,2.4063,1.33804,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
18,2636.15,1.56266,2.45742,1.41455,0.65323,0.18374,0.1854,0.10048,1.52393,2.40485,1.35145,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585,0.0004755,0.0001585
19,2775.48,1.52903,2.44839,1.40586,0.64985,0.17869,0.18519,0.09977,1.52147,2.39493,1.34811,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
20,2914.01,1.52649,2.45721,1.41103,0.64995,0.19762,0.18722,0.09991,1.50768,2.3785,1.34469,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05,0.0001785,5.95e-05
